event_id,date,date_end,place_id,event_type,headline,fact_text,quote,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,contacts,source_id,source_type,confidence,data_status,display_priority,display_tier,map_layer,timeline_group,update_status,notes,counts_policy
ev_20260424_bunia_first_known,2026-04-24,,bunia,first_known_case,Premier signal clinique documenté à Bunia,"Le 24 avril, un soignant présente fièvre, hémorragies, vomissements et malaise intense avant de mourir dans un centre médical de Bunia. L'OMS le décrit comme le premier cas suspect actuellement connu, mais pas comme le point d'origine de l'épidémie : la confirmation Bundibugyo n'interviendra qu'à la mi-mai, après près de trois semaines de circulation silencieuse.",,,,,,,who_don602_2026_05_16,official,medium,provisional,1,primary,clinical,silent_spread,active,Ne pas présenter comme patient zéro ; cas index zoonotique non identifié.,
ev_20260426_relative_sick,2026-04-26,,bunia,first_known_case,Un proche entre à son tour dans la zone grise,"Deux jours après le premier signal clinique de Bunia, le récit journalistique initial mentionne l'apparition de symptômes chez une proche du défunt. L'information reste reconstruite et doit être lue comme un indice de transmission familiale précoce, non comme une chaîne confirmée : à ce stade, ni le virus ni l'ampleur du foyer ne sont encore identifiés.",,,,,,,jeune_afrique_pdf_2026_05_19,media,medium,reconstructed,3,verify,clinical,silent_spread,active,Element narratif utile mais a recouper.,
ev_20260430_body_transfer,2026-04-30,,mongbwalu,early_signal,"À Mongbwalu, les décès sortent de l'ombre","À la charnière d'avril et de mai, Mongbwalu apparaît déjà dans les reconstructions comme un foyer de décès communautaires et familiaux compatibles avec Ebola. Les enquêtes ultérieures insisteront sur le rôle possible d'expositions funéraires dans cette zone minière très mobile ; pour cette date, il faut toutefois parler d'un signal épidémiologique, pas d'une chaîne de transmission prouvée.",,,,,,,jeune_afrique_pdf_2026_05_19,media,medium,reconstructed,2,secondary,mobility,silent_spread,active,Representer comme risque funeraire pas chaine prouvee.,
ev_20260501_care_seeking,2026-05-01,,mongbwalu,early_signal,La recherche de soins devient un accélérateur,"Début mai, alors que la maladie circule encore sans diagnostic, des malades de Mongbwalu se déplacent vers Rwampara puis Bunia pour chercher des soins. Ce mouvement, dans une zone minière où les allers-retours sont constants, transforme les structures de santé en points d'amplification possibles : le virus voyage avec les patients avant même d'avoir un nom.",,,,,,,who_don602_2026_05_16,official,low,reconstructed,2,context,mobility,silent_spread,active,Date du 1er mai approximative : les sources ne datent pas precisement ces deplacements (periode de circulation silencieuse). Reconstruction de la migration de soins Mongbwalu vers Rwampara/Bunia.,
ev_20260505_mongbwalu_alert,2026-05-05,,mongbwalu,alert,L'alerte remonte enfin : quatre soignants morts,"Le 5 mai, l'OMS reçoit une alerte sur une maladie inconnue à forte mortalité dans la zone de santé de Mongbwalu, en Ituri. Le signal est grave : quatre soignants seraient morts en quatre jours. Cette concentration de décès parmi le personnel médical fait basculer l'épisode d'une rumeur locale vers une investigation d'urgence.",,,,,,,who_don602_2026_05_16,official,high,confirmed,1,primary,alert,detection_confirmation,active,,
ev_20260508_official_notification,2026-05-08,,mongbwalu,alert,Les rumeurs deviennent un signal officiel,"Le 8 mai marque la formalisation de l'alerte après plusieurs signalements de décès groupés et de fièvres hémorragiques présumées autour de Mongbwalu. La maladie reste alors sans étiquette biologique, mais les autorités disposent déjà d'assez d'indices pour traiter l'épisode comme une urgence sanitaire et non comme une succession de décès isolés.",,,,,,,deep_report_initial_2026_05_20,analysis,high,confirmed,1,secondary,alert,detection_confirmation,active,,
ev_20260509_msf_alerts,2026-05-09,2026-05-10,mongbwalu,early_signal,MSF capte les signaux d'une fièvre hémorragique,"Durant le week-end, MSF signale avoir reçu des alertes sur une fièvre hémorragique présumée à Mongbwalu. Le point essentiel n'est pas encore le bilan, mais la nature du signal : des symptômes compatibles avec Ebola, dans un foyer où les décès se multiplient et où les moyens de diagnostic restent insuffisants.",,,,,,,deep_report_initial_2026_05_20,analysis,medium,confirmed,2,secondary,alert,detection_confirmation,active,,
ev_20260511_ituri_meeting,2026-05-11,,rwampara,investigation,La riposte provinciale se met en route,"Le 11 mai, une réunion d'urgence en Ituri organise le déploiement d'équipes d'intervention rapide vers Mongbwalu et Rwampara. À ce moment, la riposte travaille encore à l'aveugle : il faut enquêter, prélever, isoler, retrouver les contacts et contenir une flambée qui a probablement pris de l'avance sur la surveillance.",,,,,,,deep_report_initial_2026_05_20,analysis,high,confirmed,2,secondary,response,detection_confirmation,active,,
ev_20260511_kampala_admission,2026-05-11,,kampala,cross_border_case,Kampala reçoit le premier cas importé,"Le 11 mai, un Congolais de 59 ans est admis à l'hôpital Kibuli Muslim de Kampala avec fièvre, détresse respiratoire, douleurs abdominales et difficultés urinaires. Il vient de RDC et son diagnostic ne sera posé qu'après sa mort. Ce cas fait entrer l'Ouganda dans l'épidémie par la voie la plus difficile à contrôler : la recherche transfrontalière de soins.",,,,,,,deep_report_initial_2026_05_20,analysis,high,confirmed,1,primary,mobility,regional_spread,active,,
ev_20260512_investigations_samples,2026-05-12,2026-05-14,rwampara,investigation,"Les prélèvements partent, l'épidémie attend son nom","Le 12 mai, les investigations se concentrent sur Mongbwalu et Rwampara, avec des prélèvements envoyés pour analyse. Le délai de laboratoire devient un enjeu central : tant que l'agent n'est pas identifié, les cas restent mélangés aux autres fièvres graves, les contacts s'accumulent et les décisions de contrôle restent fragiles.",,,,,,,deep_report_initial_2026_05_20,analysis,high,confirmed,2,secondary,response,detection_confirmation,active,,
ev_20260514_kampala_death,2026-05-14,,kampala,cross_border_case,Le cas importé meurt avant la confirmation,"Le 14 mai, le patient congolais admis à Kampala décède en soins intensifs, après une dégradation rapide et des signes hémorragiques. Sa confirmation post mortem comme cas de Bundibugyo fera de lui le premier cas importé reconnu en Ouganda et déclenchera une recherche de contacts dans les services où il a été pris en charge.",,,,1,,,deep_report_initial_2026_05_20,analysis,high,confirmed,1,secondary,clinical,regional_spread,active,,
ev_20260514_lab_non_zaire,2026-05-14,,rwampara,lab_confirmation,Le laboratoire écarte la piste Ebola-Zaïre,"Les premiers résultats de laboratoire indiquent un orthoebolavirus non-Zaïre, ensuite séquencé comme virus Bundibugyo. Cette précision change la lecture de la crise : les vaccins et traitements approuvés contre Ebola-Zaïre ne couvrent pas cette souche, et la confirmation dépend de tests spécifiques disponibles en quantité limitée.",,8,,,,,deep_report_initial_2026_05_20,analysis,high,confirmed,1,primary,alert,detection_confirmation,active,,
ev_20260515_drc_declaration,2026-05-15,,bunia,official_declaration,La RDC déclare sa 17e épidémie d'Ebola,"Le 15 mai, après confirmation de huit échantillons, le ministère congolais de la Santé déclare officiellement la 17e épidémie d'Ebola du pays. Les zones de Rwampara, Mongbwalu et Bunia sont au cœur du signal initial. La déclaration donne enfin un cadre à une flambée qui circulait déjà depuis plusieurs semaines.",,8,246,,80,65,deep_report_initial_2026_05_20,analysis,high,provisional,1,primary,alert,detection_confirmation,active,Chiffres initiaux provisoires.,
ev_20260515_uganda_confirmed,2026-05-15,,kampala,cross_border_case,L'Ouganda confirme l'importation par Kampala,"Le même jour, l'Ouganda confirme un foyer de Bundibugyo après l'identification du cas importé de Kampala. Les autorités parlent d'abord d'un cas venu de RDC, sans transmission locale confirmée à ce stade, mais la situation est immédiatement sensible : les contacts hospitaliers, familiaux et de transport deviennent prioritaires.",,1,,,,,deep_report_initial_2026_05_20,analysis,high,confirmed,1,secondary,mobility,regional_spread,active,,
ev_20260517_who_pheic,2026-05-17,,bunia,official_declaration,L'OMS enclenche l'alerte internationale,"Le 17 mai 2026, l'OMS considère que l'événement remplit les critères d'une urgence de santé publique de portée internationale. Le raisonnement tient à trois éléments : circulation déjà détectée en RDC et en Ouganda, forte incertitude sur le nombre réel de cas, et contexte explosif mêlant mobilité, soins informels, funérailles à risque et insécurité.",,,,,,,deep_report_initial_2026_05_20,analysis,high,confirmed,1,primary,response,detection_confirmation,active,Renomme depuis ev_20260516_who_pheic : la determination PHEIC est datee du 17 mai 2026.,
ev_20260517_uganda_second_case,2026-05-17,,kampala,cross_border_case,"Deux cas importés à Kampala, sans lien clair","À ce stade, Kampala n'est plus seulement le lieu d'un décès importé : deux cas confirmés, tous deux liés à des déplacements depuis la RDC et sans lien apparent entre eux, sont signalés à vingt-quatre heures d'intervalle. Pour l'Ouganda, le risque devient double : soigner les cas importés et éviter que l'hôpital ne transforme l'exposition en transmission locale.",,2,,,,,deep_report_initial_2026_05_20,analysis,high,confirmed,1,secondary,mobility,regional_spread,active,,
ev_20260518_nyankunde_case,2026-05-18,,nyankunde,situation_update,Nyankunde révèle le risque nosocomial,"Le cas du Dr Peter Stafford, médecin missionnaire exposé en soignant des patients à l'hôpital de Nyankunde, illustre l'un des angles les plus préoccupants de l'épidémie : la transmission associée aux soins. Avant que Bundibugyo soit identifié, des soignants ont opéré, examiné ou transporté des patients sans connaître le niveau réel de risque.",,,,,,,deep_report_2026_05_27,analysis,medium,confirmed,2,secondary,clinical,regional_spread,active,A verifier avec source primaire.,
ev_20260519_scale_change,2026-05-19,,bunia,situation_update,Le bruit de fond devient bilan massif,"Autour du 19 mai, les communications congolaises et les reprises de presse font basculer l'épisode dans une autre dimension : plusieurs centaines de cas suspects et plus d'une centaine de décès sont évoqués. Ces chiffres restent provisoires, mais ils montrent surtout que la surveillance officielle tente de rattraper une flambée déjà installée.",,,513,,131,,deep_report_2026_05_27,analysis,medium,provisional,2,secondary,clinical,regional_spread,active,,
